Unnamed: 0,word,root word,root language,second language,ranked languages
3886,braided,braid,Old English,Old Norse,Old English;Old Norse
3887,brains,,,,
3888,brandishing,brandish,Old French,,Old French
3889,braved,brave,French,,French
3890,bravery,bravery,French,Italian,French;Italian
3891,bravo,bravo,Italian,,Italian
3892,brazen,brazen,Old English,,Old English
3893,bread-pudding,,,,
3894,break-up,,,,
3895,breakfast-cup,,,,
3896,breakfast-room,,,,
3897,breakfast-time,,,,
3898,breaking,break,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Italian
3899,breathed,breathe,Old English,,Old English
3900,breeches,breeches,Old English,Germanic,Old English;Germanic;Old Norse;Dutch;German;Latin;French
3901,breeze,,,,
3902,breviary,breviary,Latin,,Latin
3903,brewers,,,,
3904,brick,brick,Old French,Germanic,Old French;Germanic;Middle Dutch;Dutch;English
3905,bricklayer,,,,
3906,bridges,bridge,Old English,,Old English
3907,brightened,brighten,Old English,,Old English
3908,brimming,,,,
3909,brings,,,,
3910,brisk,brisk,French,,French
3911,briskly,brisk,French,,French
3912,bristled,bristle,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;German;Sanskrit
3913,britain,britain,Old French,Latin,Old French;Latin;Old English
3914,broader,,,,
3915,bronchitic,,,,
3916,brooch,brooch,Old French,,Old French
3917,brood,,,,
3918,brooded,,,,
3919,brown-clad,,,,
3920,brunt,brunt,Old Norse,,Old Norse
3921,brush,,,,
3922,buck,,,,
3923,buckingham,,,,
3924,buckle,,,,
3925,buckled,,,,
3926,buff,,,,
3927,buffer,,,,
3928,bulb,bulb,French,Latin,French;Latin;Greek
3929,bull,bull,English,Old French,English;Old French
3930,bulldog,,,,
3931,bumper,bumper,American English,English,American English;English
3932,bumpkins,,,,
3933,bumptious——,,,,
3934,bunch,,,,
3935,bunches,,,,
3936,bundled,,,,
3937,buns,,,,
3938,bunser,,,,
3939,burly,burly,Old English,German,Old English;German
3940,burning,burning,Old English,French,Old English;French;German
3941,burns,,,,
3942,bursting,burst,English,,English
3943,bushes,,,,
3944,bushy,,,,
3945,businesslike,,,,
3946,bustling,,,,
3947,busy,busy,Old English,,Old English
3948,butter,butter,Old English,Germanic,Old English;Germanic;Old Frisian;German;Dutch;Latin;Italian;Old French;Greek
3949,buttonholed,,,,
3950,buttoning,button,Old French,Spanish,Old French;Spanish;Italian;Germanic
3951,buyers,,,,
3952,by-street,,,,
3953,byrne,,,,
3954,byron,,,,
3955,bystander,,,,
3956,cadence,cadence,French,Latin,French;Latin
3957,cadet,cadet,French,Latin,French;Latin;English
3958,cafe,cafe,French,Italian,French;Italian
3959,cafes,cafe,French,Italian,French;Italian
3960,cake,cake,Old Norse,Germanic,Old Norse;Germanic;Middle Dutch;Dutch;German;Latin;Old English;French
3961,cake-shop,,,,
3962,cakeshop,,,,
3963,calculate,calculate,Latin,Old French,Latin;Old French
3964,callan,,,,
3965,calmed,calm,Old French,,Old French
3966,calmer,,,,
3967,calve,calve,Old English,,Old English
3968,camaraderie,camaraderie,French,,French
3969,camp,camp,French,Italian,French;Italian;Latin;Germanic;Old English
3970,campanini,,,,
3971,campbell,,,,
3972,canada,,,,
3973,canadian,,,,
3974,candidly,candid,Latin,English,Latin;English;French
3975,candle-lamps,,,,
3976,candlelight,candlelight,Old English,,Old English
3977,candlestick,candlestick,Old English,,Old English
3978,cane,cane,Old French,Latin,Old French;Latin;Greek;Arabic;English
3979,canisters,,,,
3980,canvas,canvas,Old French,Latin,Old French;Latin;Greek
3981,canvases,canvas,Old French,Latin,Old French;Latin;Greek
3982,capable,capable,French,Latin,French;Latin;Sanskrit;Greek;Old Irish;Welsh;Old English
3983,cape,cape,French,Latin,French;Latin
3984,capered,,,,
3985,caps,,,,
3986,capture,,,,
3987,capturing,,,,
3988,carat,carat,French,Italian,French;Italian;Latin;Arabic;Greek;English
3989,caraway,caraway,Arabic,Greek,Arabic;Greek;Latin;Old French
3990,card-party,,,,
3991,careered,,,,
3992,careers,,,,
3993,cares,cares,Old English,,Old English
3994,caresses,caress,French,Italian,French;Italian
3995,caressing,cares,Old English,,Old English
3996,cargo,cargo,Spanish,Latin,Spanish;Latin
3997,carpeted,,,,
3998,carriages,carriage,Old French,,Old French
3999,carrier,,,,
4000,cars—the,,,,
4001,carts,,,,
4002,carving,,,,
4003,cases—what,,,,
4004,cash,cash,French,Italian,French;Italian;Latin;English;Sanskrit
4005,cassidy,,,,
4006,caste,caste,Latin,English,Latin;English
4007,casually,casual,French,Latin,French;Latin
4008,catacombs,,,,
4009,cater,cater,English,Old French,English;Old French;Latin
4010,cathedral,cathedral,Latin,Greek,Latin;Greek
4011,catholicism,,,,
4012,cats,,,,
4013,caused,cause,Old French,Latin,Old French;Latin;English
4014,causes,cause,Old French,Latin,Old French;Latin;English
4015,cautious,cautious,Latin,,Latin
4016,cavaliers,,,,
4017,cavernous,cavernous,Latin,Italian,Latin;Italian;French
4018,cedarwood,,,,
4019,ceiling,ceiling,English,French,English;French;Latin
4020,celebrated,,,,
4021,centuries,century,Latin,English,Latin;English
4022,century,century,Latin,English,Latin;English
4023,ceoil,,,,
4024,ceremonies,ceremony,Old French,Latin,Old French;Latin;English
4025,certainly,,,,
4026,chafed,chafe,Old French,Latin,Old French;Latin
4027,chaffed,chaff,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;German
4028,challenge,challenge,Old French,,Old French
4029,chances,chance,Old French,Latin,Old French;Latin;English
4030,channel,,,,
4031,chantant,,,,
4032,chanting,chant,French,Latin,French;Latin
4033,chaplain,chaplain,Old French,Latin,Old French;Latin;Old English
4034,charges,charge,Old French,American English,Old French;American English;English
4035,charitable,charitable,Old French,,Old French
4036,charity,charity,Old French,Latin,Old French;Latin;Greek;English
4037,charles,charles,French,Latin,French;Latin;German
4038,charlie,charlie,American English,English,American English;English
4039,charmeuse,,,,
4040,charming,,,,
4041,chase,chase,Old French,,Old French
4042,chastising,,,,
4043,chat,,,,
4044,cheaper,,,,
4045,cheap—he,,,,
4046,cheerfulness,,,,
4047,cheering,,,,
4048,cheerless,,,,
4049,cheque,,,,
4050,cherish,cherish,Old French,Latin,Old French;Latin;Italian;Spanish
4051,chest,chest,Old English,Germanic,Old English;Germanic;Old Norse;German;Old Frisian;Middle Dutch;Dutch;Latin;Greek
4052,cheval-glass,,,,
4053,chieftain,chieftain,Old French,Latin,Old French;Latin
4054,childish,childish,Old English,,Old English
4055,childishly,childish,Old English,,Old English
4056,children—two,,,,
4057,chilled,,,,
4058,chilly,,,,
4059,chivalry,chivalry,Old French,Latin,Old French;Latin
4060,choice,choice,Old French,Germanic,Old French;Germanic;Old English
4061,choirs,,,,
4062,choked,,,,
4063,choking,,,,
4064,choose,choose,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Dutch;German;Old Norse
4065,choosing,,,,
4066,chords,,,,
4067,christmas-card,,,,
4068,christmastime,,,,
4069,christy,,,,
4070,chronicles,chronicle,Old French,Latin,Old French;Latin;Greek;Old English
4071,chummy,,,,
4072,churches,,,,
4073,churchyard,,,,
4074,cigar-case,,,,
4075,cigarette-papers,,,,
4076,cigars,,,,
4077,cigars—o,,,,
4078,cinder,cinder,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;German;Middle Dutch;Dutch;Slavonic;French;Latin;Greek
4079,circles,,,,
4080,circling,,,,
4081,circular,,,,
4082,circus,circus,Latin,Greek,Latin;Greek
4083,cities,city,Old French,Latin,Old French;Latin;Italian;Spanish;Old English;American English
4084,citizens,,,,
4085,citizenship,,,,
4086,civic,civic,Latin,,Latin
4087,civil,civil,Old French,Latin,Old French;Latin;English
4088,civilisation,civilisation,English,,English
4089,clamour,clamour,English,,English
4090,clancy,,,,
4091,clap,,,,
4092,clasps,,,,
4093,classroom,,,,
4094,clattered,clatter,Old English,Middle Dutch,Old English;Middle Dutch;Dutch;German
4095,clean-shaven,,,,
4096,clearly,,,,
4097,clenching,,,,
4098,clicking,,,,
4099,climate,,,,
4100,climbing,,,,
4101,clinch,,,,
4102,clinked,,,,
4103,clip,clip,Old English,,Old English
4104,cloaks,,,,
4105,closer,,,,
4106,clothe,clothe,Old English,,Old English
4107,clothed,clothe,Old English,,Old English
4108,clothes-rack,,,,
4109,clothing,,,,
4110,clotted,,,,
4111,cloud,cloud,American English,English,American English;English
4112,clownish,,,,
4113,clumsily,,,,
4114,clumsy,clumsy,English,Old Norse,English;Old Norse;German
4115,clutched,,,,
4116,coachman,,,,
4117,coal-scuttle,,,,
4118,coals,,,,
4119,coarse,coarse,French,,French
4120,cock-eye—you,,,,
4121,cocks,,,,
4122,cocottes,cocotte,French,Latin,French;Latin
4123,code,code,Old French,Latin,Old French;Latin
4124,coffee,coffee,Italian,Turkish,Italian;Turkish;Arabic
4125,coffined,coffin,Old French,Latin,Old French;Latin;Italian;Spanish;Greek;English
4126,coffins,,,,
4127,colds,,,,
4128,collapse,,,,
4129,collar-bone,,,,
4130,collarette,,,,
4131,collars,,,,
4132,colleague,colleague,French,Latin,French;Latin
4133,colleagues,colleague,French,Latin,French;Latin
4134,collect,collect,Old French,Latin,Old French;Latin
4135,collecting,collect,Old French,Latin,Old French;Latin
4136,collection,collection,Old French,Latin,Old French;Latin
4137,colonel-looking,,,,
4138,colourless,,,,
4139,combed,comb,Old English,Germanic,Old English;Germanic;Old Saxon;German;Middle Dutch;Dutch;Old Norse;Greek;Sanskrit
4140,combing-jacket,,,,
4141,come-all-you,,,,
4142,comedy,comedy,Old French,Latin,Old French;Latin;Greek;English
4143,comer,,,,
4144,cometty,,,,
4145,come—the,,,,
4146,comfortable,comfortable,French,,French
4147,comfortably,,,,
4148,comforted,comfort,Old French,Old English,Old French;Old English
4149,command,command,Old French,,Old French
4150,commerce—the,,,,
4151,commercially,,,,
4152,committed,,,,
4153,common-sense,,,,
4154,commonly,,,,
4155,communicant,,,,
4156,communing,,,,
4157,communion,communion,Old French,Latin,Old French;Latin
4158,companies,company,Old French,Latin,Old French;Latin
4159,companionship,,,,
4160,comparing,,,,
4161,compassionately,,,,
4162,compelled,,,,
4163,compete,compete,French,Latin,French;Latin
4164,competed,compete,French,Latin,French;Latin
4165,competition,competition,Latin,,Latin
4166,competitors,,,,
4167,complacent,complacent,Latin,,Latin
4168,complain,complain,Old French,Latin,Old French;Latin
4169,complex,,,,
4170,complicity,complicity,Old French,Latin,Old French;Latin
4171,complimented,compliment,French,,French
4172,compliments,,,,
4173,compose,compose,Old French,Latin,Old French;Latin
4174,composed,,,,
4175,composure,,,,
4176,compromised,,,,
4177,conceded,concede,French,Latin,French;Latin
4178,conceit,,,,
4179,conclave,conclave,Italian,Latin,Italian;Latin
4180,concrete,,,,
4181,condemned,,,,
4182,condensed,,,,
4183,condition,,,,
4184,conference,conference,French,Latin,French;Latin
4185,confessed,,,,
4186,confession-box,,,,
4187,confessor,confessor,Old English,Latin,Old English;Latin
4188,confidentially,confidential,Latin,,Latin
4189,confirmed,,,,
4190,confuse,,,,
4191,confusedly,confused,Latin,Old French,Latin;Old French;English
4192,congenial,congenial,Latin,,Latin
4193,connacht,,,,
4194,connived,connive,Latin,,Latin
4195,connubial,connubial,Latin,,Latin
4196,conquer,conquer,Old French,Latin,Old French;Latin
4197,conqueror,conqueror,Old French,Latin,Old French;Latin
4198,conscience,conscience,Old French,Latin,Old French;Latin;Greek;Old English;Russian
4199,consciences,conscience,Old French,Latin,Old French;Latin;Greek;Old English;Russian
4200,consciousness,,,,
4201,consecutively,consecutive,French,Latin,French;Latin
4202,considerable,considerable,Latin,,Latin
4203,considerably,,,,
4204,considerately,considerate,Latin,,Latin
4205,consideration,consideration,Old French,Latin,Old French;Latin
4206,consignor,,,,
4207,consisted,consist,French,Latin,French;Latin
4208,consoled,console,French,Latin,French;Latin
4209,constabulary,constabulary,Latin,Old French,Latin;Old French
4210,constitution,constitution,Old French,Latin,Old French;Latin
4211,constrained,constrain,Old French,Latin,Old French;Latin
4212,consumption,consumption,Old English,Old French,Old English;Old French;Latin
4213,contempt,contempt,Latin,,Latin
4214,contented,content,Latin,,Latin
4215,contentedly,,,,
4216,contents,contents,Latin,,Latin
4217,continentals,,,,
4218,continue,continue,Old French,Latin,Old French;Latin
4219,contracted,,,,
4220,contracts,,,,
4221,contradictions,,,,
4222,contrast,,,,
4223,contusions,,,,
4224,convenient,convenient,Latin,,Latin
4225,conventions,,,,
4226,converged,converge,Latin,,Latin
4227,conversing,,,,
4228,convex,convex,French,Latin,French;Latin
4229,conveyed,convey,Old French,Latin,Old French;Latin
4230,conviction,conviction,Latin,,Latin
4231,convincing,,,,
4232,convulsed,convulse,Latin,,Latin
4233,convulsively,convulsive,French,Latin,French;Latin
4234,coping,,,,
4235,copious,copious,Latin,,Latin
4236,copiously,copious,Latin,,Latin
4237,copper,copper,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;Old Norse;German;Latin;Greek
4238,coppers,,,,
4239,cordially,,,,
4240,corks,,,,
4241,corkscrew—for,,,,
4242,corned,,,,
4243,corporation,corporation,Latin,,Latin
4244,corroborated,corroborate,Latin,,Latin
4245,corruption,corruption,Latin,,Latin
4246,cottage,cottage,Old French,Old Norse,Old French;Old Norse;Old English;Germanic;Middle Dutch;Dutch;American English
4247,cottages,cottage,Old French,Old Norse,Old French;Old Norse;Old English;Germanic;Middle Dutch;Dutch;American English
4248,couch,couch,Old French,Latin,Old French;Latin
4249,cough,cough,Old English,Germanic,Old English;Germanic;German;Middle Dutch;Dutch
4250,couldn't,,,,
4251,councillors,,,,
4252,counter-orders,,,,
4253,countries,country,Old French,Latin,Old French;Latin;Old English;American English
4254,county,county,French,Latin,French;Latin;Old English
4255,course—but,,,,
4256,coursing,,,,
4257,courted,,,,
4258,courteous,courteous,Old French,Latin,Old French;Latin;German
4259,courting,,,,
4260,courtship,,,,
4261,covering,,,,
4262,coverings,,,,
4263,covers,,,,
4264,covertly,covert,Old French,,Old French
4265,cow,cow,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Sanskrit;Greek;Latin;Old Irish;Slavonic
4266,crabbed-looking,,,,
4267,crack,,,,
4268,crackers,,,,
4269,cranes,,,,
4270,craning,,,,
4271,cranny,cranny,French,Latin,French;Latin
4272,crawled,crawl,English,,English
4273,craziness,,,,
4274,cream,,,,
4275,creased,,,,
4276,creases,,,,
4277,created,create,Latin,,Latin
4278,creature,creature,Old French,Latin,Old French;Latin
4279,creatures,creature,Old French,Latin,Old French;Latin
4280,credit,credit,French,Italian,French;Italian;Latin;English;American English
4281,creed,creed,Old English,Latin,Old English;Latin
4282,crevices,crevice,Old French,Latin,Old French;Latin
4283,cricket,cricket,Old French,,Old French
4284,crimson,,,,
4285,cripple,,,,
4286,criticisms,,,,
4287,critics,,,,
4288,croly,,,,
4289,crooked,crook,Old Norse,German,Old Norse;German;Germanic;American English;English
4290,cropped,,,,
4291,cross-directions,,,,
4292,cross-examination,,,,
4293,crosses,cross,French,English,French;English
4294,crossings,,,,
4295,cross—to,,,,
4296,crouching,crouch,Old French,,Old French
4297,crowe,,,,
4298,crowned,crown,Old French,Latin,Old French;Latin;Greek;Old English;German
4299,crumpled,crumple,Old English,,Old English
4300,crunching,,,,
4301,crusade,,,,
4302,crush,,,,
4303,crust,crust,Old French,Latin,Old French;Latin;Sanskrit;Greek;German;Old English;Old Norse
4304,crusts,,,,
4305,crux,crux,Latin,,Latin
4306,crux—that,,,,
4307,cultivated,cultivate,Latin,,Latin
4308,cunning,,,,
4309,cunningly,,,,
4310,curling,,,,
4311,curls,,,,
4312,currant,currant,French,,French
4313,curs,,,,
4314,curse,curse,Old English,Old French,Old English;Old French;Latin;Germanic
4315,curses,curse,Old English,Old French,Old English;Old French;Latin;Germanic
4316,custard,custard,French,Latin,French;Latin
4317,customs,,,,
4318,cute,cute,American English,English,American English;English
4319,cycling,,,,
4320,d'honneur,,,,
4321,dairy,dairy,French,Old English,French;Old English
4322,dairyman,,,,
4323,dalkey,,,,
4324,dancers,,,,
4325,dances,,,,
4326,dared,dare,Old English,Germanic,Old English;Germanic;Old Norse;German;Sanskrit;Greek;Slavonic
4327,darkest,,,,
4328,dart,,,,
4329,davy,,,,
4330,dawned,,,,
4331,daybreak,,,,
4332,de,de,Latin,,Latin
4333,dead-room,,,,
4334,deadly,deadly,Old English,,Old English
4335,deals,,,,
4336,dealt,,,,
4337,debonair,debonair,Old French,English,Old French;English
4338,debt,debt,Old French,Latin,Old French;Latin;English
4339,debts,,,,
4340,decanters,,,,
4341,deceived,deceive,Old French,Latin,Old French;Latin
4342,deception,deception,French,Latin,French;Latin
4343,decidedly,,,,
4344,decipher,decipher,French,,French
4345,decisive,decisive,Latin,,Latin
4346,decisively,decisive,Latin,,Latin
4347,declare,declare,Old French,Latin,Old French;Latin
4348,declared,declare,Old French,Latin,Old French;Latin
4349,decorating,,,,
4350,decorous,decorous,Latin,,Latin
4351,decrepit,decrepit,French,Latin,French;Latin
4352,deed,deed,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Greek;American English
4353,deep-drawn,,,,
4354,deepened,deepen,Old English,,Old English
4355,defence,,,,
4356,defend,defend,Old French,Latin,Old French;Latin;Old English
4357,deferred,,,,
4358,defiance,defiance,Old French,,Old French
4359,defiant,defiant,French,,French
4360,defiantly,defiant,French,,French
4361,defied,,,,
4362,defined,define,Old French,Latin,Old French;Latin
4363,definite,definite,Latin,,Latin
4364,definitely,,,,
4365,deft,deft,Old English,Old Norse,Old English;Old Norse;Dutch
4366,degree,degree,Old French,Latin,Old French;Latin;English
4367,delayed,delay,Old French,,Old French
4368,deliberate,deliberate,Latin,,Latin
4369,deliberated,deliberate,Latin,,Latin
4370,delightful,,,,
4371,delivered,deliver,Old French,Latin,Old French;Latin;English
4372,delivering,deliver,Old French,Latin,Old French;Latin;English
4373,delusion,delusion,Latin,,Latin
4374,demeanour,demeanour,English,,English
